Index,Flow ID,Device Name,Device MAC Address,Control IP Address,Device Type,Channel,Primary/Secondary,Flow Type,Sender/Receiver,Flow Number,Flow Name,Flow Source IP,Flow Source Port,Flow Destination IP,Flow Destination Port,Flow Destination MAC,Flow VLAN ID,Flow Enabled,SDP File URL
1,a04f66a2-9910-11e5-8894-feff819cdc9f,ENCAP15,40:a3:6b:a0:77:xx,10.1.20.15,2110 Encapsulator - MA,1,Primary,2110-20,Sender,1,tx ch1 flow 0 primary,10.1.20.15,10000,239.115.101.20,20000,01:00:5e:0f:65:14,0,1,10.1.20.15/emsfp/node/v1/sdp/a04f66a2-9910-11e5-8894-feff819cdc9f
2,a05f66a2-9910-11e5-8894-feff819cdc9f,ENCAP15,40:a3:6b:a0:77:xx,10.1.20.15,2110 Encapsulator - MA,1,Secondary,2110-20,Sender,2,tx ch1 flow 0 secondary,10.1.20.15,10000,239.115.201.20,20000,01:00:5e:0f:c9:14,0,0,10.1.20.15/emsfp/node/v1/sdp/a05f66a2-9910-11e5-8894-feff819cdc9f
3,a14f66a2-9910-11e5-8894-feff819cdc9f,ENCAP15,40:a3:6b:a0:77:xx,10.1.20.15,2110 Encapsulator - MA,1,Primary,2110-30,Sender,3,tx ch1 flow 1 primary,10.1.20.15,10000,239.115.101.201,20000,01:00:5e:0f:65:c9,0,1,10.1.20.15/emsfp/node/v1/sdp/a14f66a2-9910-11e5-8894-feff819cdc9f
4,a15f66a2-9910-11e5-8894-feff819cdc9f,ENCAP15,40:a3:6b:a0:77:xx,10.1.20.15,2110 Encapsulator - MA,1,Secondary,2110-30,Sender,4,tx ch1 flow 1 secondary,10.1.20.15,10000,239.115.201.201,20000,01:00:5e:0f:c9:c9,0,0,10.1.20.15/emsfp/node/v1/sdp/a15f66a2-9910-11e5-8894-feff819cdc9f
5,a24f66a2-9910-11e5-8894-feff819cdc9f,ENCAP15,40:a3:6b:a0:77:xx,10.1.20.15,2110 Encapsulator - MA,1,Primary,2110-30,Sender,5,tx ch1 flow 2 primary,10.1.20.15,10000,239.115.101.202,20000,01:00:5e:0f:65:ca,0,0,10.1.20.15/emsfp/node/v1/sdp/a24f66a2-9910-11e5-8894-feff819cdc9f
6,a25f66a2-9910-11e5-8894-feff819cdc9f,ENCAP15,40:a3:6b:a0:77:xx,10.1.20.15,2110 Encapsulator - MA,1,Secondary,2110-30,Sender,6,tx ch1 flow 2 secondary,10.1.20.15,10000,239.115.201.202,20000,01:00:5e:0f:c9:ca,0,0,10.1.20.15/emsfp/node/v1/sdp/a25f66a2-9910-11e5-8894-feff819cdc9f
7,a34f66a2-9910-11e5-8894-feff819cdc9f,ENCAP15,40:a3:6b:a0:77:xx,10.1.20.15,2110 Encapsulator - MA,1,Primary,2110-30,Sender,7,tx ch1 flow 3 primary,10.1.20.15,10000,239.115.101.203,20000,01:00:5e:0f:65:cb,0,0,10.1.20.15/emsfp/node/v1/sdp/a34f66a2-9910-11e5-8894-feff819cdc9f
8,a35f66a2-9910-11e5-8894-feff819cdc9f,ENCAP15,40:a3:6b:a0:77:xx,10.1.20.15,2110 Encapsulator - MA,1,Secondary,2110-30,Sender,8,tx ch1 flow 3 secondary,10.1.20.15,10000,239.115.201.203,20000,01:00:5e:0f:c9:cb,0,0,10.1.20.15/emsfp/node/v1/sdp/a35f66a2-9910-11e5-8894-feff819cdc9f
9,a44f66a2-9910-11e5-8894-feff819cdc9f,ENCAP15,40:a3:6b:a0:77:xx,10.1.20.15,2110 Encapsulator - MA,1,Primary,2110-30,Sender,9,tx ch1 flow 4 primary,10.1.20.15,10000,239.115.101.204,20000,01:00:5e:0f:65:cc,0,0,10.1.20.15/emsfp/node/v1/sdp/a44f66a2-9910-11e5-8894-feff819cdc9f
10,a45f66a2-9910-11e5-8894-feff819cdc9f,ENCAP15,40:a3:6b:a0:77:xx,10.1.20.15,2110 Encapsulator - MA,1,Secondary,2110-30,Sender,10,tx ch1 flow 4 secondary,10.1.20.15,10000,239.115.201.204,20000,01:00:5e:0f:c9:cc,0,0,10.1.20.15/emsfp/node/v1/sdp/a45f66a2-9910-11e5-8894-feff819cdc9f
11,a54f66a2-9910-11e5-8894-feff819cdc9f,ENCAP15,40:a3:6b:a0:77:xx,10.1.20.15,2110 Encapsulator - MA,1,Primary,2110-30,Sender,11,tx ch1 flow 5 primary,10.1.20.15,10000,239.115.101.205,20000,01:00:5e:0f:65:cd,0,0,10.1.20.15/emsfp/node/v1/sdp/a54f66a2-9910-11e5-8894-feff819cdc9f
12,a55f66a2-9910-11e5-8894-feff819cdc9f,ENCAP15,40:a3:6b:a0:77:xx,10.1.20.15,2110 Encapsulator - MA,1,Secondary,2110-30,Sender,12,tx ch1 flow 5 secondary,10.1.20.15,10000,239.115.201.205,20000,01:00:5e:0f:c9:cd,0,0,10.1.20.15/emsfp/node/v1/sdp/a55f66a2-9910-11e5-8894-feff819cdc9f
13,a64f66a2-9910-11e5-8894-feff819cdc9f,ENCAP15,40:a3:6b:a0:77:xx,10.1.20.15,2110 Encapsulator - MA,1,Primary,2110-30,Sender,13,tx ch1 flow 6 primary,10.1.20.15,10000,239.115.101.206,20000,01:00:5e:0f:65:ce,0,0,10.1.20.15/emsfp/node/v1/sdp/a64f66a2-9910-11e5-8894-feff819cdc9f
14,a65f66a2-9910-11e5-8894-feff819cdc9f,ENCAP15,40:a3:6b:a0:77:xx,10.1.20.15,2110 Encapsulator - MA,1,Secondary,2110-30,Sender,14,tx ch1 flow 6 secondary,10.1.20.15,10000,239.115.201.206,20000,01:00:5e:0f:c9:ce,0,0,10.1.20.15/emsfp/node/v1/sdp/a65f66a2-9910-11e5-8894-feff819cdc9f
15,a74f66a2-9910-11e5-8894-feff819cdc9f,ENCAP15,40:a3:6b:a0:77:xx,10.1.20.15,2110 Encapsulator - MA,1,Primary,2110-30,Sender,15,tx ch1 flow 7 primary,10.1.20.15,10000,239.115.101.207,20000,01:00:5e:0f:65:cf,0,0,10.1.20.15/emsfp/node/v1/sdp/a74f66a2-9910-11e5-8894-feff819cdc9f
16,a75f66a2-9910-11e5-8894-feff819cdc9f,ENCAP15,40:a3:6b:a0:77:xx,10.1.20.15,2110 Encapsulator - MA,1,Secondary,2110-30,Sender,16,tx ch1 flow 7 secondary,10.1.20.15,10000,239.115.201.207,20000,01:00:5e:0f:c9:cf,0,0,10.1.20.15/emsfp/node/v1/sdp/a75f66a2-9910-11e5-8894-feff819cdc9f
17,a84f66a2-9910-11e5-8894-feff819cdc9f,ENCAP15,40:a3:6b:a0:77:xx,10.1.20.15,2110 Encapsulator - MA,1,Primary,2110-30,Sender,17,tx ch1 flow 8 primary,10.1.20.15,10000,239.115.101.208,20000,01:00:5e:0f:65:d0,0,0,10.1.20.15/emsfp/node/v1/sdp/a84f66a2-9910-11e5-8894-feff819cdc9f
18,a85f66a2-9910-11e5-8894-feff819cdc9f,ENCAP15,40:a3:6b:a0:77:xx,10.1.20.15,2110 Encapsulator - MA,1,Secondary,2110-30,Sender,18,tx ch1 flow 8 secondary,10.1.20.15,10000,239.115.201.208,20000,01:00:5e:0f:c9:d0,0,0,10.1.20.15/emsfp/node/v1/sdp/a85f66a2-9910-11e5-8894-feff819cdc9f
19,a94f66a2-9910-11e5-8894-feff819cdc9f,ENCAP15,40:a3:6b:a0:77:xx,10.1.20.15,2110 Encapsulator - MA,1,Primary,2110-40,Sender,19,tx ch1 flow 9 primary,10.1.20.15,10000,239.115.101.241,20000,01:00:5e:0f:65:f1,0,1,10.1.20.15/emsfp/node/v1/sdp/a94f66a2-9910-11e5-8894-feff819cdc9f
20,a95f66a2-9910-11e5-8894-feff819cdc9f,ENCAP15,40:a3:6b:a0:77:xx,10.1.20.15,2110 Encapsulator - MA,1,Secondary,2110-40,Sender,20,tx ch1 flow 9 secondary,10.1.20.15,10000,239.115.201.241,20000,01:00:5e:0f:c9:f1,0,0,10.1.20.15/emsfp/node/v1/sdp/a95f66a2-9910-11e5-8894-feff819cdc9f
21,b04f66a2-9910-11e5-8894-feff819cdc9f,ENCAP15,40:a3:6b:a0:77:xx,10.1.20.15,2110 Encapsulator - MA,2,Primary,2110-20,Sender,21,tx ch2 flow 0 primary,10.1.20.15,10000,239.115.102.20,20000,01:00:5e:0f:66:14,0,1,10.1.20.15/emsfp/node/v1/sdp/b04f66a2-9910-11e5-8894-feff819cdc9f
22,b05f66a2-9910-11e5-8894-feff819cdc9f,ENCAP15,40:a3:6b:a0:77:xx,10.1.20.15,2110 Encapsulator - MA,2,Secondary,2110-20,Sender,22,tx ch2 flow 0 secondary,10.1.20.15,10000,239.115.202.20,20000,01:00:5e:0f:ca:14,0,0,10.1.20.15/emsfp/node/v1/sdp/b05f66a2-9910-11e5-8894-feff819cdc9f
23,b14f66a2-9910-11e5-8894-feff819cdc9f,ENCAP15,40:a3:6b:a0:77:xx,10.1.20.15,2110 Encapsulator - MA,2,Primary,2110-30,Sender,23,tx ch2 flow 1 primary,10.1.20.15,10000,239.115.102.201,20000,01:00:5e:0f:66:c9,0,1,10.1.20.15/emsfp/node/v1/sdp/b14f66a2-9910-11e5-8894-feff819cdc9f
24,b15f66a2-9910-11e5-8894-feff819cdc9f,ENCAP15,40:a3:6b:a0:77:xx,10.1.20.15,2110 Encapsulator - MA,2,Secondary,2110-30,Sender,24,tx ch2 flow 1 secondary,10.1.20.15,10000,239.115.202.201,20000,01:00:5e:0f:ca:c9,0,0,10.1.20.15/emsfp/node/v1/sdp/b15f66a2-9910-11e5-8894-feff819cdc9f
25,b24f66a2-9910-11e5-8894-feff819cdc9f,ENCAP15,40:a3:6b:a0:77:xx,10.1.20.15,2110 Encapsulator - MA,2,Primary,2110-30,Sender,25,tx ch2 flow 2 primary,10.1.20.15,10000,239.115.102.202,20000,01:00:5e:0f:66:ca,0,0,10.1.20.15/emsfp/node/v1/sdp/b24f66a2-9910-11e5-8894-feff819cdc9f
26,b25f66a2-9910-11e5-8894-feff819cdc9f,ENCAP15,40:a3:6b:a0:77:xx,10.1.20.15,2110 Encapsulator - MA,2,Secondary,2110-30,Sender,26,tx ch2 flow 2 secondary,10.1.20.15,10000,239.115.202.202,20000,01:00:5e:0f:ca:ca,0,0,10.1.20.15/emsfp/node/v1/sdp/b25f66a2-9910-11e5-8894-feff819cdc9f
27,b34f66a2-9910-11e5-8894-feff819cdc9f,ENCAP15,40:a3:6b:a0:77:xx,10.1.20.15,2110 Encapsulator - MA,2,Primary,2110-30,Sender,27,tx ch2 flow 3 primary,10.1.20.15,10000,239.115.102.203,20000,01:00:5e:0f:66:cb,0,0,10.1.20.15/emsfp/node/v1/sdp/b34f66a2-9910-11e5-8894-feff819cdc9f
28,b35f66a2-9910-11e5-8894-feff819cdc9f,ENCAP15,40:a3:6b:a0:77:xx,10.1.20.15,2110 Encapsulator - MA,2,Secondary,2110-30,Sender,28,tx ch2 flow 3 secondary,10.1.20.15,10000,239.115.202.203,20000,01:00:5e:0f:ca:cb,0,0,10.1.20.15/emsfp/node/v1/sdp/b35f66a2-9910-11e5-8894-feff819cdc9f
29,b44f66a2-9910-11e5-8894-feff819cdc9f,ENCAP15,40:a3:6b:a0:77:xx,10.1.20.15,2110 Encapsulator - MA,2,Primary,2110-30,Sender,29,tx ch2 flow 4 primary,10.1.20.15,10000,239.115.102.204,20000,01:00:5e:0f:66:cc,0,0,10.1.20.15/emsfp/node/v1/sdp/b44f66a2-9910-11e5-8894-feff819cdc9f
30,b45f66a2-9910-11e5-8894-feff819cdc9f,ENCAP15,40:a3:6b:a0:77:xx,10.1.20.15,2110 Encapsulator - MA,2,Secondary,2110-30,Sender,30,tx ch2 flow 4 secondary,10.1.20.15,10000,239.115.202.204,20000,01:00:5e:0f:ca:cc,0,0,10.1.20.15/emsfp/node/v1/sdp/b45f66a2-9910-11e5-8894-feff819cdc9f
31,b54f66a2-9910-11e5-8894-feff819cdc9f,ENCAP15,40:a3:6b:a0:77:xx,10.1.20.15,2110 Encapsulator - MA,2,Primary,2110-30,Sender,31,tx ch2 flow 5 primary,10.1.20.15,10000,239.115.102.205,20000,01:00:5e:0f:66:cd,0,0,10.1.20.15/emsfp/node/v1/sdp/b54f66a2-9910-11e5-8894-feff819cdc9f
32,b55f66a2-9910-11e5-8894-feff819cdc9f,ENCAP15,40:a3:6b:a0:77:xx,10.1.20.15,2110 Encapsulator - MA,2,Secondary,2110-30,Sender,32,tx ch2 flow 5 secondary,10.1.20.15,10000,239.115.202.205,20000,01:00:5e:0f:ca:cd,0,0,10.1.20.15/emsfp/node/v1/sdp/b55f66a2-9910-11e5-8894-feff819cdc9f
33,b64f66a2-9910-11e5-8894-feff819cdc9f,ENCAP15,40:a3:6b:a0:77:xx,10.1.20.15,2110 Encapsulator - MA,2,Primary,2110-30,Sender,33,tx ch2 flow 6 primary,10.1.20.15,10000,239.115.102.206,20000,01:00:5e:0f:66:ce,0,0,10.1.20.15/emsfp/node/v1/sdp/b64f66a2-9910-11e5-8894-feff819cdc9f
34,b65f66a2-9910-11e5-8894-feff819cdc9f,ENCAP15,40:a3:6b:a0:77:xx,10.1.20.15,2110 Encapsulator - MA,2,Secondary,2110-30,Sender,34,tx ch2 flow 6 secondary,10.1.20.15,10000,239.115.202.206,20000,01:00:5e:0f:ca:ce,0,0,10.1.20.15/emsfp/node/v1/sdp/b65f66a2-9910-11e5-8894-feff819cdc9f
35,b74f66a2-9910-11e5-8894-feff819cdc9f,ENCAP15,40:a3:6b:a0:77:xx,10.1.20.15,2110 Encapsulator - MA,2,Primary,2110-30,Sender,35,tx ch2 flow 7 primary,10.1.20.15,10000,239.115.102.207,20000,01:00:5e:0f:66:cf,0,0,10.1.20.15/emsfp/node/v1/sdp/b74f66a2-9910-11e5-8894-feff819cdc9f
36,b75f66a2-9910-11e5-8894-feff819cdc9f,ENCAP15,40:a3:6b:a0:77:xx,10.1.20.15,2110 Encapsulator - MA,2,Secondary,2110-30,Sender,36,tx ch2 flow 7 secondary,10.1.20.15,10000,239.115.202.207,20000,01:00:5e:0f:ca:cf,0,0,10.1.20.15/emsfp/node/v1/sdp/b75f66a2-9910-11e5-8894-feff819cdc9f
